I_min,R_min,A_min,I_max,R_max,A_max,class,exp
4.0,353.0,22.0,66.0,4872.0,133.0,oil,1
1.0,122.0,25.0,65.0,4848.0,138.0,oil,1
1.0,119.0,17.0,60.0,4464.0,136.0,oil,1
2.0,190.0,15.0,59.0,4352.0,139.0,oil,1
2.0,195.0,18.0,62.0,4585.0,122.0,oil,1
3.0,265.0,22.0,58.0,4277.0,136.0,oil,1
2.0,204.0,18.0,61.0,4546.0,128.0,oil,1
2.0,189.0,15.0,62.0,4547.0,126.0,oil,1
3.0,258.0,21.0,60.0,4417.0,139.0,oil,1
4.0,349.0,21.0,58.0,4272.0,134.0,oil,1
3.0,268.0,23.0,60.0,4419.0,136.0,oil,1
2.0,193.0,19.0,61.0,4519.0,151.0,oil,1
1.0,130.0,21.0,56.0,4152.0,132.0,oil,1
1.0,125.0,17.0,60.0,4478.0,128.0,oil,1
2.0,191.0,21.0,60.0,4430.0,133.0,oil,1
3.0,260.0,20.0,57.0,4216.0,143.0,oil,1
4.0,361.0,22.0,61.0,4488.0,138.0,oil,1
2.0,207.0,15.0,56.0,4180.0,136.0,oil,1
4.0,321.0,18.0,56.0,4164.0,131.0,oil,1
2.0,193.0,25.0,69.0,5079.0,139.0,oil,1
3.0,276.0,19.0,66.0,4853.0,130.0,oil,1
2.0,199.0,20.0,60.0,4467.0,138.0,oil,1
2.0,196.0,22.0,59.0,4329.0,126.0,oil,1
1.0,109.0,19.0,61.0,4482.0,129.0,oil,1
1.0,121.0,20.0,58.0,4285.0,135.0,oil,1
1.0,130.0,17.0,60.0,4471.0,134.0,oil,1
3.0,262.0,21.0,64.0,4716.0,124.0,oil,1
3.0,263.0,21.0,66.0,4854.0,143.0,oil,1
4.0,350.0,22.0,58.0,4316.0,130.0,oil,1
3.0,269.0,20.0,60.0,4482.0,153.0,oil,1
2.0,196.0,24.0,58.0,4294.0,145.0,oil,1
3.0,262.0,18.0,55.0,4029.0,133.0,oil,1
3.0,278.0,21.0,61.0,4528.0,139.0,oil,1
2.0,204.0,22.0,67.0,4973.0,126.0,oil,1
3.0,266.0,20.0,65.0,4829.0,126.0,oil,1
3.0,276.0,19.0,67.0,5008.0,141.0,oil,1
3.0,287.0,14.0,66.0,4816.0,131.0,oil,1
3.0,262.0,21.0,63.0,4634.0,141.0,oil,1
2.0,184.0,22.0,68.0,4990.0,141.0,oil,1
3.0,276.0,21.0,67.0,4931.0,142.0,oil,1
3.0,263.0,25.0,65.0,4823.0,122.0,oil,1
2.0,202.0,22.0,60.0,4459.0,143.0,oil,1
3.0,271.0,20.0,63.0,4632.0,130.0,oil,1
4.0,342.0,23.0,65.0,4794.0,134.0,oil,1
3.0,270.0,20.0,58.0,4257.0,128.0,oil,1
4.0,361.0,19.0,67.0,4952.0,136.0,oil,1
1.0,99.0,18.0,63.0,4642.0,128.0,oil,1
3.0,269.0,22.0,59.0,4392.0,133.0,oil,1
4.0,347.0,18.0,73.0,5367.0,140.0,oil,1
6.0,501.0,21.0,65.0,4752.0,139.0,oil,1
3.0,260.0,24.0,63.0,4669.0,143.0,oil,1
4.0,333.0,21.0,65.0,4824.0,139.0,oil,1
4.0,333.0,17.0,67.0,4929.0,134.0,oil,1
3.0,272.0,20.0,57.0,4237.0,132.0,oil,1
4.0,358.0,22.0,62.0,4553.0,138.0,oil,1
2.0,199.0,22.0,61.0,4507.0,132.0,oil,1
1.0,123.0,19.0,64.0,4706.0,144.0,oil,1
2.0,194.0,18.0,59.0,4367.0,130.0,oil,1
2.0,208.0,21.0,60.0,4469.0,140.0,oil,1
4.0,333.0,20.0,60.0,4426.0,131.0,oil,1
2.0,194.0,19.0,63.0,4656.0,131.0,oil,1
4.0,340.0,20.0,62.0,4565.0,135.0,oil,1
3.0,253.0,22.0,77.0,5669.0,134.0,oil,1
3.0,261.0,22.0,75.0,5562.0,146.0,oil,1
3.0,280.0,21.0,66.0,4920.0,129.0,oil,1
3.0,262.0,17.0,67.0,4972.0,133.0,oil,1
2.0,199.0,19.0,57.0,4268.0,138.0,oil,1
3.0,273.0,19.0,73.0,5386.0,143.0,oil,1
2.0,188.0,20.0,62.0,4607.0,137.0,oil,1
2.0,190.0,21.0,65.0,4794.0,130.0,oil,1
3.0,262.0,23.0,70.0,5146.0,131.0,oil,1
